25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
253
# a b m n r  k err rhoa
1	2	3	4	-9.55754707389524e-01	-9.42477796076938e+01	1.14629356493710e-03	9.00777590210637e+01
2	3	4	5	-9.54642194624248e-01	-9.42477796076938e+01	1.14751288559333e-03	8.99729071631512e+01
3	4	5	6	-1.25364544778879e+00	-4.97886403592180e+01	8.97673697745901e-04	6.24173023379269e+01
4	5	6	7	-8.76278071717088e-02	-5.48331366978825e+02	1.15119025943497e-02	4.80490752918200e+01
5	6	7	8	-1.25381858512898e+00	-4.97886403592180e+01	8.97563548555256e-04	6.24259226106904e+01
6	7	8	9	-9.54404685438677e-01	-9.42477796076938e+01	1.14777356529884e-03	8.99505224497747e+01
7	8	9	10	-9.51502315927004e-01	-9.42477796076938e+01	1.15096959120456e-03	8.96769805676985e+01
8	9	10	11	-1.25491522248091e+00	-4.97886403592180e+01	8.96866578782147e-04	6.24805226934101e+01
9	10	11	12	-8.81512019052214e-02	-5.48331366978825e+02	1.14441448146695e-02	4.83360690415165e+01
10	11	12	13	-1.25578590576477e+00	-4.97886403592180e+01	8.96314081412630e-04	6.25238728302970e+01
11	12	13	14	-9.51543268275546e-01	-9.42477796076938e+01	1.15092435976377e-03	8.96808402356183e+01
12	13	14	15	-9.48412722376239e-01	-9.42477796076938e+01	1.15439327879798e-03	8.93857932356486e+01
13	14	15	16	-1.25464780606075e+00	-4.97886403592180e+01	8.97036423424456e-04	6.24672083934406e+01
14	15	16	17	-8.81095342230222e-02	-5.48331366978825e+02	1.14495095487488e-02	4.83132213443773e+01
15	16	17	18	-1.25354721893109e+00	-4.97886403592180e+01	8.97736204028045e-04	6.24124116566580e+01
16	17	18	19	-9.47157550751074e-01	-9.42477796076938e+01	1.15579055903321e-03	8.92674960969503e+01
17	18	19	20	-9.47050400770445e-01	-9.42477796076938e+01	1.15591001195552e-03	8.92573974491910e+01
18	19	20	21	-1.25384338008752e+00	-4.97886403592180e+01	8.97547776605240e-04	6.24271571179638e+01
19	20	21	22	-8.81768124357335e-02	-5.48331366978825e+02	1.14408499624415e-02	4.83501120987212e+01
20	21	22	23	-1.25715850276952e+00	-4.97886403592180e+01	8.95444645839805e-04	6.25922125689246e+01
21	22	23	24	-9.46370214638936e-01	-9.42477796076938e+01	1.15666892779537e-03	8.91932914165763e+01
22	23	24	25	-9.47568482883410e-01	-9.42477796076938e+01	1.15533269422073e-03	8.93062255379924e+01
1	2	4	5	-1.40848871812644e-01	-3.76991118430775e+02	7.19980837709649e-03	5.30987737143615e+01
