25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
1	2	3	4	-5.57867057738168e-02	-9.42477796076938e+01	2.79254176443834e-02	5.25777315080994e+00
2	3	4	5	-5.50756010882868e-02	-9.42477796076938e+01	2.81568603926263e-02	5.19075311313012e+00
3	4	5	6	-1.48350857546064e-01	-4.97886403592180e+01	1.67407766732288e-02	7.38618749334256e+00
4	5	6	7	-1.10528138370996e-02	-5.48331366978825e+02	1.00474698546304e-01	6.06060452025930e+00
5	6	7	8	-1.47024940479743e-01	-4.97886403592180e+01	1.68015671132870e-02	7.32017188538136e+00
6	7	8	9	-5.52083080335307e-02	-9.42477796076938e+01	2.81132158477425e-02	5.20326044805787e+00
7	8	9	10	-5.44929490432353e-02	-9.42477796076938e+01	2.83509980200666e-02	5.13583945160013e+00
8	9	10	11	-1.45772319926005e-01	-4.97886403592180e+01	1.68600129332346e-02	7.25780561112473e+00
9	10	11	12	-1.04518345331610e-02	-5.48331366978825e+02	1.05676983483355e-01	5.73106871700466e+00
10	11	12	13	-1.44688683351423e-01	-4.97886403592180e+01	1.69113905582455e-02	7.20385281943278e+00
11	12	13	14	-5.47277389762505e-02	-9.42477796076938e+01	2.82722695785762e-02	5.15796788146105e+00
12	13	14	15	-5.43662704482592e-02	-9.42477796076938e+01	2.83937575955612e-02	5.12390027529981e+00
13	14	15	16	-1.46537113725398e-01	-4.97886403592180e+01	1.68242097484869e-02	7.29588365455167e+00
14	15	16	17	-1.09914281820813e-02	-5.48331366978825e+02	1.00979987626198e-01	6.02694484013022e+00
15	16	17	18	-1.45708236503218e-01	-4.97886403592180e+01	1.68630300111958e-02	7.25461498463461e+00
16	17	18	19	-5.63022562226292e-02	-9.42477796076938e+01	2.77612775595674e-02	5.30636263588626e+00
17	18	19	20	-5.52243178986733e-02	-9.42477796076938e+01	2.81079647164646e-02	5.20476934229938e+00
18	19	20	21	-1.49042585492218e-01	-4.97886403592180e+01	1.67094917650379e-02	7.42062768728005e+00
19	20	21	22	-1.18279527077560e-02	-5.48331366978825e+02	9.45454851492824e-02	6.48563747680475e+00
20	21	22	23	-1.50037199021052e-01	-4.97886403592180e+01	1.66650137867456e-02	7.47014814256358e+00
21	22	23	24	-5.66618723418379e-02	-9.42477796076938e+01	2.76485519921943e-02	5.34025565663282e+00
