,time,A,B,M,N,inj time [ms],Vmn [mV],I [mA],R [ohm],Nb samples [-],x,y,z,Rhoa,fulldata
0,1668791434.6714199,1,2,3,4,1,0.18086180904627183,0.05,3.6172361809254365,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.01168994,  0.18435645,  0.17229574,  0.18676398,  0.17749469,
        0.19195099,  0.17988946,  0.19249708,  0.18835069,  0.18708372,
        0.20024903,  0.19561661,  0.20049633,  0.18288438,  0.18885199,
        0.19928966,  0.19738397,  0.20086098,  0.20566756,  0.19522755,
        0.21794743,  0.03066021,  0.0264752 ,  0.02786937,  0.03752109,
        0.02632601,  0.02570184,  0.03788042,  0.01828771,  0.01807176,
        0.00839921,  0.02649106,  0.03826975,  0.02563931,  0.02153701,
        0.02798754,  0.02827379,  0.03871399,  0.03863292,  0.031208  ])]"
1,1668791434.674145,2,3,4,5,1,0.17419170830586525,0.05,3.4838341661173047,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([0.0008596 , 0.17803498, 0.19202344, 0.17259421, 0.17723016,
       0.18041549, 0.1851465 , 0.17829518, 0.18742844, 0.17046788,
       0.17115854, 0.18961514, 0.17062935, 0.18866645, 0.18338884,
       0.18891223, 0.18373906, 0.18829059, 0.19682649, 0.1832645 ,
       0.1979988 , 0.03158754, 0.04059762, 0.04613894, 0.02884696,
       0.02755574, 0.02736779, 0.01608971, 0.03065573, 0.02597135,
       0.00894554, 0.01261986, 0.02257139, 0.03233255, 0.02690071,
       0.01960122, 0.01826149, 0.00874067, 0.02133328, 0.02160905])]"
2,1668791434.6768188,3,4,5,6,1,0.1744143969060629,0.05,3.4882879381212577,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00981525,  0.17326021,  0.17628005,  0.17973065,  0.16274694,
        0.17626421,  0.170009  ,  0.18327061,  0.19308044,  0.17056675,
        0.18069289,  0.19056038,  0.18399024,  0.18636017,  0.18866162,
        0.18997051,  0.18409231,  0.17915537,  0.17896422,  0.19512506,
        0.20671532,  0.02797239,  0.0310661 ,  0.03174768,  0.02084353,
        0.02618136,  0.03468521,  0.03462554,  0.02748697,  0.03074789,
        0.02325936,  0.01115145,  0.02030045,  0.03346962,  0.02108604,
        0.02393001,  0.02616253,  0.03126618,  0.01269565,  0.02746805])]"
3,1668791434.6787388,4,5,6,7,1,0.17492271580604685,0.05,3.4984543161209367,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([0.00165891, 0.18156792, 0.1818664 , 0.17323657, 0.17639859,
       0.1803663 , 0.1860702 , 0.17964678, 0.18420871, 0.1898817 ,
       0.19532009, 0.20409255, 0.18212886, 0.19198188, 0.16784936,
       0.17018971, 0.19240857, 0.17721978, 0.17699982, 0.19487293,
       0.20577204, 0.0355718 , 0.04043721, 0.03648294, 0.02688585,
       0.0344169 , 0.03346532, 0.02532233, 0.02310966, 0.02903323,
       0.03438568, 0.01595972, 0.02069537, 0.02980511, 0.01987661,
       0.02137097, 0.01725406, 0.01284392, 0.01297459, 0.01738906])]"
4,1668791434.6806972,5,6,7,8,1,0.16979460779685382,0.05,3.395892155937076,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00525957,  0.18448484,  0.1853075 ,  0.17486134,  0.17036972,
        0.15939727,  0.18693655,  0.18565431,  0.18147557,  0.19211821,
        0.17012701,  0.18312326,  0.16967612,  0.18237306,  0.18161262,
        0.18748092,  0.19367551,  0.18707231,  0.18320485,  0.18311378,
        0.20937883,  0.03563218,  0.03234923,  0.030125  ,  0.04372594,
        0.03933746,  0.03077294,  0.03074232,  0.0391825 ,  0.02535208,
        0.01909087,  0.0279982 ,  0.01597743,  0.03519182,  0.01862189,
        0.0274861 ,  0.00375511,  0.02600595,  0.02308839,  0.02883692])]"
5,1668791434.68341,1,2,4,5,1,0.035759700743196295,0.05,0.7151940148639259,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.01907441,  0.02316568,  0.02630548,  0.04536137,  0.03787981,
        0.02890392,  0.02882075,  0.04151575,  0.06278493,  0.04502863,
        0.04923829,  0.03519279,  0.04803184,  0.03058149,  0.04677163,
        0.03774807,  0.03854364,  0.04647509,  0.03333686,  0.03906832,
        0.03477694,  0.0048881 ,  0.02019058,  0.0070881 , -0.0040247 ,
        0.01604101,  0.02012123, -0.00289967, -0.00218433, -0.01521597,
       -0.00124254,  0.00248723,  0.00808107,  0.01323568,  0.0052177 ,
        0.00900269, -0.00947877,  0.00155153, -0.0046865 ,  0.00878646])]"
6,1668791434.6852238,2,3,5,6,1,0.026355624230054588,0.05,0.5271124846010917,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00603994,  0.02818424,  0.03271566,  0.01373621,  0.03236329,
        0.03521877,  0.0376532 ,  0.03028448,  0.040978  ,  0.02659952,
        0.01668436,  0.0145321 ,  0.03791189,  0.02951977,  0.03790079,
        0.01218145,  0.04699825,  0.02865325,  0.03143742,  0.03797058,
        0.02769125,  0.00425026, -0.00576828, -0.00122572,  0.00423808,
       -0.00372232, -0.00021163, -0.0066329 ,  0.00362045,  0.00474467,
       -0.00283359,  0.0084291 ,  0.01083886,  0.01325793,  0.00985814,
       -0.00520202,  0.00575243, -0.01024185,  0.00408109,  0.00497304])]"
7,1668791434.6868649,3,4,6,7,1,0.0346141982834032,0.05,0.692283965668064,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00238466,  0.0375272 ,  0.02485181,  0.03697998,  0.0500274 ,
        0.0337253 ,  0.03743526,  0.03494961,  0.02724394,  0.04107042,
        0.03831076,  0.03621781,  0.04042202,  0.0448827 ,  0.04978225,
        0.0371468 ,  0.03255845,  0.04178839,  0.04725577,  0.04543064,
        0.04394999,  0.01293043,  0.0069781 ,  0.00716362, -0.00706009,
        0.01313343, -0.00407635, -0.0082838 ,  0.01789957, -0.00188174,
        0.00871081,  0.00868268,  0.01987807, -0.00660528,  0.00608223,
        0.00549834,  0.00098124,  0.00090481, -0.0010509 ,  0.00925148])]"
8,1668791434.688457,4,5,7,8,1,0.03369144523365149,0.05,0.6738289046730297,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-1.50766562e-02,  3.06286170e-02,  3.30347522e-02,  3.58075542e-02,
        4.37324780e-02,  3.97662764e-02,  2.75872558e-02,  4.47345480e-02,
        2.83478066e-02,  3.22225472e-02,  2.96229862e-02,  4.73107008e-02,
        5.54297678e-02,  3.92687878e-02,  4.25556855e-02,  4.86894849e-02,
        4.35675900e-02,  4.70409929e-02,  4.66880927e-02,  3.69129019e-02,
        3.73837087e-02,  1.33634269e-03,  4.58835336e-05, -1.43219919e-03,
        4.91442209e-03,  9.15727433e-03, -7.39336772e-03,  2.47536548e-03,
       -2.41402060e-03, -8.67161633e-03, -1.03498959e-02,  9.29493108e-03,
        4.78774362e-03,  3.43069610e-03, -3.84415322e-03, -6.96589648e-03,
        4.35520979e-03, -9.89475370e-03, -7.91758027e-03, -6.10388547e-03])]"
9,1668791434.6902232,1,2,5,6,1,0.019137278113035668,0.05,0.3827455622607133,20,[-2.],[0.],[0.8],[44.93289641],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00429704,  0.03136837,  0.01105253,  0.02547763,  0.02412538,
        0.01321797,  0.04240408,  0.02100487,  0.01431614,  0.03255293,
        0.03724631,  0.02780955,  0.01578843,  0.01335387,  0.02962251,
        0.01892542,  0.01616227,  0.02462642,  0.01824712,  0.02143571,
        0.02758424,  0.00628737,  0.00503903,  0.00187361, -0.00886498,
       -0.00111228, -0.00161958, -0.00023145, -0.01067603,  0.01115903,
        0.00786523,  0.00630166, -0.00105586,  0.01416885,  0.0094791 ,
       -0.0014245 , -0.01688636,  0.01333669, -0.002186  ,  0.00682526])]"
