,time,A,B,M,N,inj time [ms],Vmn [mV],I [mA],R [ohm],Nb samples [-],x,y,z,Rhoa,fulldata
0,1668791493.152757,1,2,3,4,1,0.20137626757438537,0.05,4.027525351487707,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.01214306,  0.18924501,  0.22774751,  0.20943994,  0.20502128,
        0.21202171,  0.22066656,  0.20411705,  0.20174142,  0.21761946,
        0.21031735,  0.20746038,  0.20181245,  0.21562237,  0.21061578,
        0.2195993 ,  0.21110147,  0.20464855,  0.21870975,  0.2184165 ,
        0.2471805 ,  0.04419294,  0.03679221,  0.0602625 ,  0.04881323,
        0.03804313,  0.03730574,  0.0264265 ,  0.02306712,  0.02588995,
        0.01382946,  0.0402604 ,  0.04238987,  0.03466793,  0.03850896,
        0.03328846,  0.0190681 ,  0.0327561 ,  0.03226058,  0.02663593])]"
1,1668791493.1546712,2,3,4,5,1,0.15492560367215727,0.05,3.0985120734431453,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00154614,  0.16370077,  0.1445217 ,  0.14323655,  0.14400288,
        0.14870973,  0.16615737,  0.14544053,  0.16919369,  0.1673524 ,
        0.16581291,  0.17272431,  0.16171948,  0.1633945 ,  0.17031688,
        0.1695094 ,  0.16535035,  0.1736526 ,  0.15898426,  0.17017682,
        0.21062318,  0.03829708,  0.02008993,  0.03251511,  0.03449498,
        0.01955506,  0.02963338,  0.0155706 ,  0.03278243,  0.03684165,
        0.01275011,  0.027099  ,  0.01666921,  0.03024193,  0.02417709,
        0.01521396,  0.01570028,  0.0225414 ,  0.00776761,  0.01293413])]"
2,1668791493.1569731,3,4,5,6,1,0.1612566129218576,0.05,3.225132258437152,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00980433,  0.15324013,  0.16440222,  0.15945969,  0.17130887,
        0.15004417,  0.16559269,  0.16253325,  0.17016334,  0.1705843 ,
        0.17260327,  0.18277622,  0.16246915,  0.1793784 ,  0.17214951,
        0.17626879,  0.17267644,  0.18968341,  0.18071808,  0.17094996,
        0.18101565,  0.04701509,  0.03684093,  0.03388869,  0.01985487,
        0.02029003,  0.01704501,  0.02945573,  0.02180077,  0.02394616,
        0.02228584,  0.04477061,  0.0307146 ,  0.02619352,  0.03502177,
        0.01484305,  0.01501684,  0.01469725,  0.01700012,  0.01112682])]"
3,1668791493.159221,4,5,6,7,1,0.14988684412301936,0.05,2.997736882460387,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00079388,  0.1526869 ,  0.14343638,  0.15424459,  0.1581197 ,
        0.15339571,  0.15778285,  0.15970246,  0.16508259,  0.14865771,
        0.15650251,  0.16203957,  0.15248388,  0.1531682 ,  0.14323731,
        0.16308421,  0.15977617,  0.15928242,  0.15798141,  0.15399245,
        0.17523081,  0.02878821,  0.03062823,  0.03344153,  0.02824081,
        0.01770106,  0.03382159,  0.01813725,  0.01410588,  0.02649577,
        0.01609793,  0.03048766,  0.03241761,  0.02046539,  0.01070415,
        0.01047918,  0.0104121 ,  0.01588438,  0.01801311,  0.0143346 ])]"
4,1668791493.160745,5,6,7,8,1,0.17437736504109558,0.05,3.4875473008219116,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.01206843,  0.1847216 ,  0.17444762,  0.17979608,  0.16750741,
        0.17304395,  0.19095472,  0.18339103,  0.18294655,  0.1691335 ,
        0.18247754,  0.18744339,  0.18098447,  0.19566317,  0.1944133 ,
        0.1776468 ,  0.1848698 ,  0.18829295,  0.1763417 ,  0.19923726,
        0.19776235,  0.0386427 ,  0.0254774 ,  0.03286506,  0.03652423,
        0.03428433,  0.02120975,  0.03628101,  0.0240771 ,  0.035143  ,
        0.03063538,  0.03195123,  0.01202037,  0.02321839,  0.02552641,
        0.01852612,  0.03436445,  0.02542197,  0.01862457,  0.02747125])]"
5,1668791493.1621828,1,2,4,5,1,0.026417985352995128,0.05,0.5283597070599025,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00547173,  0.01603401,  0.03593096,  0.03061569,  0.03043168,
        0.01968567,  0.03461085,  0.031728  ,  0.01823502,  0.02555647,
        0.04129982,  0.03042882,  0.01616761,  0.03683293,  0.02976347,
        0.02890888,  0.03504992,  0.03773453,  0.01967889,  0.03050306,
        0.02148644, -0.00076652,  0.01339762, -0.0100279 , -0.00271046,
        0.0053619 , -0.00338369,  0.01567343, -0.0081324 , -0.00477916,
        0.00471971, -0.00507273, -0.0222815 ,  0.00599585, -0.0103117 ,
        0.00416887, -0.00203311, -0.00050486,  0.00286736, -0.00154696])]"
6,1668791493.1637812,2,3,5,6,1,0.04206781534374103,0.05,0.8413563068748205,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00190203,  0.03814928,  0.06885046,  0.03664691,  0.0312408 ,
        0.05046601,  0.03826589,  0.04165486,  0.04381666,  0.0439626 ,
        0.05189557,  0.03305816,  0.05024482,  0.04541336,  0.04759382,
        0.03929421,  0.04905043,  0.06130509,  0.05164108,  0.05001503,
        0.0450932 , -0.00046017,  0.01524653,  0.00331331, -0.00017756,
        0.00085705, -0.00479468,  0.00354005, -0.01107388,  0.01554998,
        0.00523563, -0.00013637,  0.00134005,  0.00181692,  0.00448353,
        0.02414664,  0.01176866,  0.00517319, -0.0153839 , -0.01680231])]"
7,1668791493.16535,3,4,6,7,1,0.031957502712747894,0.05,0.6391500542549579,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.0285354 ,  0.01860593,  0.02015667,  0.02993687,  0.03204162,
        0.02257527,  0.01262206,  0.02923523,  0.02798197,  0.03593477,
        0.04067717,  0.03341374,  0.03662861,  0.03489573,  0.03537109,
        0.04139476,  0.04103911,  0.04288836,  0.04426206,  0.03169593,
        0.0340538 ,  0.00744324, -0.00056105,  0.01262492,  0.00347609,
       -0.00321968,  0.00348435, -0.00245435,  0.00812737,  0.01101648,
       -0.00050118,  0.01933831,  0.01108115,  0.00822091, -0.00040951,
       -0.0164338 , -0.01141515,  0.00065267, -0.00187912,  0.01194867])]"
8,1668791493.166795,4,5,7,8,1,0.03233815495128961,0.05,0.6467630990257922,20,[-1.5],[0.],[0.6],[54.88116361],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00554391,  0.04732317,  0.02401732,  0.03257529,  0.03612544,
        0.03967865,  0.03141696,  0.02896674,  0.03727724,  0.03270286,
        0.02991133,  0.04250456,  0.02561032,  0.02262436,  0.03102326,
        0.02661765,  0.04380802,  0.04954476,  0.04645142,  0.05317829,
        0.02048142, -0.00696868,  0.00844127, -0.00529848, -0.0020268 ,
        0.02151131,  0.0041399 , -0.0002471 ,  0.00338142, -0.00714595,
        0.00942438, -0.00838316, -0.01451986,  0.00756254, -0.00325711,
        0.00678036, -0.00215811, -0.01342664, -0.00568004, -0.00536305])]"
9,1668791493.1682508,1,2,5,6,1,0.015829097534455803,0.05,0.31658195068911604,20,[-2.],[0.],[0.8],[44.93289641],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00109202,  0.01642266,  0.01414212,  0.02448132,  0.00183382,
        0.01517154,  0.02077635,  0.01564   ,  0.00376132,  0.03692096,
        0.01327408,  0.01874848,  0.02423102,  0.02303491,  0.02081151,
        0.00855425,  0.03242593,  0.01385834,  0.01661819,  0.01707602,
        0.02840405,  0.00637441,  0.00932807, -0.00313788,  0.01417584,
       -0.01343718,  0.0021447 ,  0.014476  ,  0.00010451, -0.00545431,
       -0.00447081,  0.01230527, -0.00587005,  0.01412046,  0.00254644,
       -0.00213214, -0.00150995, -0.01265449, -0.00350384,  0.00350157])]"
