Resistivity(log10),Resistivity/Ohmm,x,y,z
1.9985,99.659,0.27236,44,-10.301
2.0031,100.73,0,40,-10
2.0016,100.37,-4.5003,44,-4.9368
1.9983,99.606,-7.9939,44,-12.837
2.0031,100.73,-30,44,0
2.0198,104.67,-35,44,0
2.0088,102.04,-32.571,44,-6.9769
2.0091,102.14,-33.647,39.418,0
2.0092,102.15,40,40,-10
2.0132,103.11,32.531,36.965,0
2.0077,101.8,29.167,33.356,-9.3567
1.9951,98.888,38.403,29.518,-7.4853
2.0336,108.04,-22.833,-2.2173,-59.335
2.0325,107.78,-19.42,-25.458,-59.335
2.0307,107.32,-4.8694,-17.75,-59.335
2.0276,106.57,-16.694,-14.041,-42.422
1.9993,99.856,33.669,-36.973,-7.2156
2.0047,101.09,21.306,-35.416,-17.484
1.9941,98.67,33.987,-29.017,-12.2
2.0082,101.91,27.268,-39.876,-15.696
2.0085,102.05,40,40,0
1.9943,98.72,44,40,0
1.9832,96.204,44,35,0
1.9963,99.192,44,38.186,-4.5848
2.0023,100.54,20,-20,-10
1.997,99.313,26.648,-34.033,0
2.0064,101.49,20,-20,0
2.006,101.41,14.564,-31.269,0
1.964,92.049,44,-10,0
1.9681,92.92,44,-5,0
1.969,93.121,44,-7.3975,-6.763
1.9706,93.463,39.127,-6.4744,0
1.9748,94.369,44,10,0
1.9742,94.234,44,5,0
1.9785,95.181,36.936,5.7806,0
1.9729,93.957,44,4.5316,-5.1113
2.0079,101.85,22.753,31.496,0
2.0123,102.88,7.5339,31.633,0
2.0062,101.46,12.078,36.415,-9.8425
2.0055,101.28,20,20,-10
2.0061,101.42,-21.725,34.903,-20.532
2.0117,102.74,-31.057,44,-20.292
2.009,102.09,-35.883,37.93,-18.634
2.0061,101.41,-26.443,44,-13.777
2.012,102.82,-40,-40,-10
2.0154,103.61,-39.497,-44,-10.319
2.0193,104.54,-33.959,-44,-5.8639
2.0209,104.94,-38.581,-44,-4.3268
2.0047,101.13,-33.702,16.47,-22.3
2.013,103.08,-12.751,8.9019,-30.254
2.027,106.42,-33.271,6.4853,-40.197
2.0191,104.53,-22.735,29.14,-37.197
2.008,101.87,39.395,-44,-10.696
2.0036,100.85,40,-40,-10
2.0094,102.19,32.808,-44,-6.9725
2.0102,102.4,38.2,-44,-4.571
2.0084,101.96,44,-44,-16.167
2.0143,103.35,44,-44,-22.334
2.0121,102.82,38.092,-44,-18.528
2.0082,101.92,44,-38.162,-17.815
2.0039,100.9,44,-39.939,-10.852
2.0056,101.3,44,-44,-10
2.0042,100.98,44,-44,-5
2.0098,102.28,37.296,-38.236,-17.436
2.0159,103.72,44,-36.684,-26.808
2.0021,100.5,-20,40,-10
2.0054,101.26,-16.514,31.004,0
2.0015,100.35,-9.2407,35.766,-10.255
2.0126,102.95,-13.61,38.628,0
1.9954,98.959,44,-33.174,-12.288
1.9722,93.807,-44,7.3263,-7.1209
1.9676,92.806,-44,10,0
1.9712,93.603,-38.071,12.756,0
1.9663,92.543,-44,14.339,-6.0056
1.9942,98.679,-0.20937,-44,-10.306
1.9993,99.86,0,-40,-10
1.9961,99.112,7.5803,-44,-12.128
1.9954,98.94,2.4313,-44,-18.068
1.9864,96.918,-44,-14.975,-14.98
1.9848,96.575,-40,-20,-10
1.9911,97.97,-44,-21.47,-15.704
1.9981,99.573,-38.732,-19.236,-17.662
2.0009,100.22,-20,40,0
1.9981,99.577,-20,44,0
2.0127,102.98,-15,44,0
2.0068,101.58,-17.971,44,-5.6096
2.0043,101,-19.946,-44,-10.332
2.0074,101.72,-20,-40,-10
2.0034,100.78,-13.337,-44,-12.567
2.0071,101.65,-19.085,-44,-16.648
1.9753,94.475,-44,30,0
1.9769,94.814,-44,25,0
1.9781,95.081,-44,27.223,-6.6126
1.9782,95.119,-37.452,25.808,0
1.9907,97.904,-34.785,-8.9221,-10.616
1.997,99.317,-31.054,-16.499,0
1.998,99.563,-31.805,-21.931,-9.6842
2.0054,101.26,-20,-20,-10
2.0041,100.97,-10.659,-34.945,-10.797
2.0105,102.45,-18.834,-32.333,0
2.0048,101.12,44,-30.854,-20.141
1.9766,94.782,40,-20,-10
1.9753,94.472,44,-20.303,-9.9253
1.987,97.069,44,-18.303,-16.495
1.9739,94.167,44,-13.146,-11.877
2.014,103.29,-30.681,-19.318,-25.209
2.0135,103.18,-25.176,-34.728,-20.108
2.0168,103.96,-36.478,-28.606,-24.573
2.0051,101.19,0,0,-10
2.0049,101.14,-20,0,-10
2.0069,101.63,-9.0226,-23.165,-24.477
1.9696,93.251,40,0,0
1.9789,95.291,40,0,-10
1.9692,93.164,44,-1.7268,-4.5847
2.0073,101.73,-32.692,-5.7581,-23.613
2.015,103.53,39.435,44,-9.9342
2.0119,102.78,44,44,-10
2.0131,103.06,44,44,-16.167
2.005,101.15,13.333,44,-12.479
2.0082,101.91,20,40,-10
2.005,101.17,17.636,34.079,-18.888
2.0074,101.71,19.107,44,-16.615
1.9706,93.47,-44,20.172,-3.9662
2.0154,103.62,-14.493,-44,-32.566
2.0253,106,-30.742,-44,-35.17
2.0247,105.86,-22.055,-32.29,-36.233
2.0328,107.84,-25.092,-44,-46.439
1.9981,99.582,30.307,20.431,0
2.0002,100.08,-44,-9.8428,-23.016
2.0031,100.74,-40,40,-10
2.0029,100.68,-28.866,36.076,-8.2493
2.0094,102.2,-33.751,44,-13.893
1.9814,95.832,-40,-20,0
1.973,93.972,-44,-20,0
1.9721,93.776,-44,-15,0
1.9742,94.229,-44,-18.431,-4.588
2.0221,105.21,44,-44,-34.667
2.0181,104.25,35.464,-44,-27.798
2.0024,100.56,1.769,44,-4.5282
2.0106,102.5,-15,-44,0
2.0055,101.32,-20,-40,0
2.0116,102.73,-14.296,-44,-5.7847
1.9975,99.432,-20.119,-44,-4.0111
2.0106,102.46,-44,-39.39,-10.662
2.0147,103.44,-44,-44,-16.167
2.0146,103.41,-44,-38.226,-18.273
2.0109,102.55,0,-20,0
2.0032,100.75,0,-20,-10
2.007,101.63,5.502,-35.553,0
2.0101,102.35,-7.099,-31.751,0
1.9819,95.92,44,20.098,-10.297
1.9877,97.242,40,20,-10
1.9851,96.641,44,25.832,-5.9817
1.9971,99.357,44,27.268,-13.729
2.0183,104.31,35,-44,0
2.007,101.64,33.646,-38.844,0
1.9947,98.804,-44,33.301,-12.149
2.0057,101.33,-44,38.617,-16.257
1.9979,99.541,44,-23.474,-20.915
1.9856,96.738,44,-25.742,-14.357
2.0163,103.82,-32.845,-44,-12.721
2.0177,104.15,-31.271,-44,-19.312
2.0169,103.96,-37.99,-44,-17.886
2.0161,103.79,-37.197,-37.994,-18.65
1.9982,99.583,4.4504,-44,-4.8531
2.0043,101.02,0,40,0
1.9966,99.227,0,44,0
2.006,101.39,5,44,0
1.9783,95.12,-44,-12.717,-6.9292
1.9804,95.606,-38.738,-13.576,0
2.0074,101.72,-39.346,44,-10.628
2.0053,101.23,-44,44,-10
2.0043,101.02,-44,44,-5
2.0324,107.76,-44,1.3763,-43.795
2.0312,107.45,-33.279,-18.288,-41.907
2.0071,101.68,20,40,0
2.0126,102.96,14.315,44,-5.7202
