25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
1	2	3	4	-2.62048550558124e-01	-3.76991118430775e+02	1.38160867437357e-02	9.87899761580707e+01
2	3	4	5	-2.62263449724353e-01	-3.76991118430775e+02	1.38129598350477e-02	9.88709912350972e+01
3	4	5	6	-5.11509410652782e-01	-1.99154561436872e+02	1.19549982447514e-02	1.01869432349388e+02
4	5	6	7	-4.47743837993547e-02	-2.19332546791530e+03	3.23341990474118e-02	9.82047962973389e+01
5	6	7	8	-5.10931763748512e-01	-1.99154561436872e+02	1.19572085177547e-02	1.01754391333502e+02
6	7	8	9	-2.65045073330043e-01	-3.76991118430775e+02	1.37729431731590e-02	9.99196386292597e+01
7	8	9	10	-2.62871250597386e-01	-3.76991118430775e+02	1.38041436548404e-02	9.91001267660051e+01
8	9	10	11	-5.08335351870008e-01	-1.99154561436872e+02	1.19672053031947e-02	1.01237304064529e+02
9	10	11	12	-4.47041837216533e-02	-2.19332546791530e+03	3.23692709887382e-02	9.80508246790668e+01
10	11	12	13	-5.08082275889034e-01	-1.99154561436872e+02	1.19681851689280e-02	1.01186902828528e+02
11	12	13	14	-2.67202682148131e-01	-3.76991118430775e+02	1.37424774031483e-02	1.00733037990727e+02
12	13	14	15	-2.63908242471707e-01	-3.76991118430775e+02	1.37891957849979e-02	9.94910634925090e+01
13	14	15	16	-5.07144509975708e-01	-1.99154561436872e+02	1.19718245595282e-02	1.01000142469330e+02
14	15	16	17	-4.45345347308717e-02	-2.19332546791530e+03	3.24544840547485e-02	9.76787292269794e+01
15	16	17	18	-5.07970950410031e-01	-1.99154561436872e+02	1.19686165108316e-02	1.01164731851581e+02
16	17	18	19	-2.64083205309955e-01	-3.76991118430775e+02	1.37866853320956e-02	9.95570229285839e+01
17	18	19	20	-2.62699352998495e-01	-3.76991118430775e+02	1.38066329002559e-02	9.90353228979436e+01
18	19	20	21	-5.09727893570233e-01	-1.99154561436872e+02	1.19618310330161e-02	1.01514635096120e+02
19	20	21	22	-4.43603107777440e-02	-2.19332546791530e+03	3.25426734499279e-02	9.72965993934635e+01
20	21	22	23	-5.10544449735426e-01	-1.99154561436872e+02	1.19586933136149e-02	1.01677255981088e+02
21	22	23	24	-2.62820016127152e-01	-3.76991118430775e+02	1.38048852394720e-02	9.90808118257694e+01
22	23	24	25	-2.63243102223489e-01	-3.76991118430775e+02	1.37987700021519e-02	9.92403115264200e+01
1	2	4	5	-6.51717289500590e-02	-1.50796447372310e+03	2.53440765821373e-02	9.82766519478002e+01
2	3	5	6	-3.48917800885744e-01	-2.94598062734519e+02	1.28660045359149e-02	1.02790508194529e+02
